price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
585000000,Cra 13 Bis # 109 - 48,4.693075,-74.042864,"Chicó Alto, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10915096,6,No reporta,2,82.0,82.0,No reporta,2,2,505000.0,1.0,0,10915096
239180000,"Carrera 7d #127 - 75, Bogotá, Colombia",4.7042149,-74.0316648,"Bella suiza, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191521396,5,No reporta,1,25.0,25.0,1 a 8 años,1,1,351000.0,3.0,0,191521396
214000000,Carrera 102 # 154-30,4.7540087,-74.0893094,"Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191560320,3,No reporta,1,47.0,47.0,1 a 8 años,3,1,118900.0,7.0,0,191560320
618000000,"Avenida Carrera 50 #57b-42, Bogotá, Colombia",4.6492075,-74.0850478,"Nicolas de federman, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10191877,5,No reporta,2,70.0,70.0,1 a 8 años,2,2,480000.0,2.0,1,10191877
700000000,Avenida Carrera 20,4.6759707,-74.0586853,"Barrios Unidos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10725141,6,No reporta,3,80.0,79.0,9 a 15 años,2,2,738000.0,No reporta,0,10725141
850000000,CALLE 125   18- 40,4.7041608202784,-74.047073011286,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191302542,5,No reporta,3,180.0,180.0,16 a 30 años,3,3,1250000.0,No reporta,0,191302542
2900000000,Calle 97 19a 33,4.6842036271445,-74.054025674719,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191606258,6,No reporta,4,300.0,300.0,9 a 15 años,3,4,No reporta,4.0,0,191606258
1030000000,CARRERA 17   120- 35,4.699973,-74.0460313,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191298153,6,No reporta,4,143.0,143.0,16 a 30 años,3,1,1021000.0,No reporta,0,191298153
170000000,Calle 26 Sur,4.6496166,-74.1690208,"Tierra Buena, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191599324,2,No reporta,2,55.0,55.0,No reporta,3,1,94000.0,No reporta,0,191599324
210000000,Diagonal 49a Bis A Sur,4.5669665,-74.1253231,"El socorro i sector, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11113907,3,No reporta,1,47.0,46.0,No reporta,2,1,160000.0,No reporta,0,11113907
655000000,Cra. 3 58-27,4.642531,-74.058779,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025500,4,No reporta,2,79.0,79.0,1 a 8 años,2,1,779000.0,5.0,0,11025500
1100000000,"Carrera 14 #111-32, Bogotá, Colombia",4.6934175,-74.0419022,"Santa Paula, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191294645,6,No reporta,3,134.0,134.0,1 a 8 años,3,2,1243000.0,5.0,0,191294645
