price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,property_type,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,remodeled
431000000,KR 17A 175 82 T6 AP 103 CONJ Mirador de la Alameda,4.756485,-74.038285,"Verbenal san antonio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191426683,4,Apartamento,,2.0,78.00  m2,,16 a 30 años,3.0,1.0,"340,000.00",1.0,
520000000,"Carrera 12 #119 39, Bogotá, Colombia",4.6991926,-74.0393301,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10681469,6,Apartamento,,2.0,74.00  m2,74.00  m2,1 a 8 años,2.0,2.0,"650,000.00",2.0,
380000000,Carrera 17 #124 -46,4.703,-74.045,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10956334,5,Apartamento,Buen estado,2.0,56.00  m2,56.00  m2,9 a 15 años,1.0,1.0,"484,000.00",2.0,
450000000,carrera 80 A # 17 - 85,4.65906823904833,-74.1303992271423,"Fontibon, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/7859231,4,Apartamento,,2.0,76.00  m2,76.00  m2,9 a 15 años,3.0,1.0,,14.0,
420000000,Carrera 13 # 146 - 67 Interior 1 Apto 102 Agrupacion ESCANDINAVIA,4.7207822572362,-74.039888887681,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191610279,4,Apartamento,,3.0,157.00  m2,,más de 30 años,3.0,1.0,"400,000.00",1.0,
299000000,Diagonal 128 B BIS #56 B -42,4.71732,-74.05491,"Prado veraniego, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10955963,3,Apartamento,,2.0,53.00  m2,47.00  m2,1 a 8 años,2.0,1.0,"356,900.00",,
190000000,"Calle 137 #85-76, Bogotá, Colombia",4.7352546,-74.082799,"Cerros de Suba, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191184369,3,Apartamento,,2.0,54.00  m2,54.00  m2,16 a 30 años,2.0,,"145,000,000.00",,
870000000,Transversal 18A # 97-46,4.6841332087094,-74.05149936676,"Zona chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191579673,6,Apartamento,,3.0,145.00  m2,145.00  m2,más de 30 años,3.0,1.0,"1,030,000.00",3.0,
450000000,"Colina Campestre, Carrera 58, Bogotá, Colombia",4.7213164,-74.0676864,"Colina Campestre, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191087480,4,Apartamento,,2.0,66.00  m2,60.00  m2,1 a 8 años,3.0,2.0,"306,700.00",3.0,
580000000,"Calle 159 #55-27, Bogotá, Colombia",4.7405991,-74.0578735,"Alejandria, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191275829,5,Apartamento,,3.0,100.00  m2,97.00  m2,1 a 8 años,3.0,2.0,"516,000,000.00",1.0,
190000000,"Carrera 79 #10d-59, Bogotá, Colombia",4.6450186,-74.1401676,"Castilla, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191080472,3,Apartamento,,1.0,36.00  m2,35.00  m2,16 a 30 años,2.0,,"94,800.00",5.0,
590000000,-,4.7033367,-74.0328803,"Los cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191485835,4,Apartamento,,2.0,89.00  m2,89.00  m2,,3.0,1.0,"425,000.00",3.0,
4500000000,Diagonal 92 # 3-55,4.6702812924651,-74.039819241007,"Zona chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10522520,6,Apartamento,,3.0,401.00  m2,401.00  m2,más de 30 años,4.0,3.0,"3,045,000.00",4.0,
569999000,Carrera 15  80-48,4.66860198974609,-74.0572738647461,"Antiguo country, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta-bogota-el-lago/7026663,5,Apartamento,Reciclada,2.0,116.00  m2,116.00  m2,más de 30 años,3.0,2.0,"740,000.00",5.0,
2100000000,Calle 94 # 9 - 84 4101224,4.6768282411527,-74.045009166148,"Chicó Reservado, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10936726,6,Apartamento,,5.0,258.00  m2,,9 a 15 años,4.0,3.0,"1,340,000.00",3.0,
